Company Name,Industry Segment,Public Email,Website,LinkedIn Company Page,Phone,Priority
Sutter Health,Healthcare,info@sutterhealth.org,https://www.sutterhealth.org,https://www.linkedin.com/company/sutter-health,800-468-3537,2
Advocate Health,Healthcare,info@advocatehealth.org,https://www.advocatehealth.org,https://www.linkedin.com/company/advocate-health-care,800-323-8622,2
Providence Health,Healthcare,info@providence.org,https://www.providence.org,https://www.linkedin.com/company/providence-health-&-services,800-562-8962,2
Banner Health,Healthcare,info@bannerhealth.com,https://www.bannerhealth.com,https://www.linkedin.com/company/banner-health,602-747-7000,2
HCA Healthcare,Healthcare,info@hcahealthcare.com,https://www.hcahealthcare.com,https://www.linkedin.com/company/hca-healthcare,615-297-4000,2
Intermountain Health,Healthcare,intermountain@imail.org,https://intermountainhealthcare.org,https://www.linkedin.com/company/intermountain-healthcare,801-442-3000,2
Cincinnati Children's,Healthcare,info@cchmc.org,https://www.cincinnatichildrens.org,https://www.linkedin.com/company/cincinnati-children's-hospital,513-636-4200,2
Children's Hospital of Philadelphia,Healthcare,contact@email.chop.edu,https://www.chop.edu,https://www.linkedin.com/company/the-children's-hospital-of-philadelphia,215-590-1000,2
Memorial Sloan Kettering,Healthcare,contact@mskcc.org,https://www.mskcc.org,https://www.linkedin.com/company/memorial-sloan-kettering,212-639-2000,2
Lineage Logistics,Warehouses,info@lineage.com,https://www.lineage.com,https://www.linkedin.com/company/lineage-logistics,949-252-5600,1
Americold,Warehouses,info@americold.com,https://www.americold.com,https://www.linkedin.com/company/americold,770-444-2000,1
US Cold Storage,Warehouses,info@uscold.com,https://www.uscold.com,https://www.linkedin.com/company/u.s.-cold-storage,816-483-7200,1
Burris Logistics,Warehouses,info@burrislogistics.com,https://www.burrislogistics.com,https://www.linkedin.com/company/burris-logistics,302-378-4000,1
Kloosterboer,Warehouses,info@kloosterboer.com,https://www.kloosterboer.com,https://www.linkedin.com/company/kloosterboer,011-31-180-513-400,1
NewCold,Warehouses,info@newcold.com,https://www.newcold.com,https://www.linkedin.com/company/newcold,+31-30-207-4000,1
Hilton Cold Storage,Warehouses,info@hiltoncoldstorage.com,https://www.hiltoncoldstorage.com,N/A,903-923-5000,2
Colder Storage,Warehouses,info@colderstorage.com,https://www.colderstorage.com,N/A,559-490-1800,2
Columbia Colstor,Warehouses,info@columbiacolstor.com,https://www.columbiacolstor.com,N/A,509-547-4471,2
FreezPak Logistics,Warehouses,info@freezpak.com,https://www.freezpak.com,https://www.linkedin.com/company/freezpak,732-249-0600,2
CSC Cold Storage,Warehouses,info@csccoldstorage.com,https://www.csccoldstorage.com,N/A,559-485-4000,2
Nova Cold Logistics,Warehouses,info@novacold.com,https://www.novacold.com,N/A,816-474-1900,2
Millard Refrigerated,Warehouses,info@millardrefrig.com,https://www.millardrefrig.com,https://www.linkedin.com/company/millard-refrigerated-services,563-582-5800,2
Bertolet Cold Storage,Warehouses,info@bertolet.com,https://www.bertolet.com,N/A,815-734-4400,3
Frigid Systems,Warehouses,info@frigidsystems.com,https://www.frigidsystems.com,N/A,608-756-3300,3
Ice River Cold Storage,Warehouses,info@iceriver.com,https://www.iceriver.com,N/A,419-227-3800,3
Rooney Engineering,Warehouses,info@rooneyeng.com,https://www.rooneyeng.com,N/A,239-573-2000,3
Cold Chain Technologies,Warehouses,info@coldchaintech.com,https://www.coldchaintech.com,https://www.linkedin.com/company/cold-chain-technologies,513-326-2800,3
Zero Mountain,Warehouses,info@zeromountain.com,https://www.zeromountain.com,N/A,501-968-3100,3
Burris Cool Warehousing,Warehouses,info@burris.com,https://www.burris.com,N/A,302-734-4100,3
Cloverleaf Cold Storage,Warehouses,info@cloverleafcold.com,https://www.cloverleafcold.com,N/A,563-242-0400,3
CCT Refrigeration,Warehouses,info@cctrefrig.com,https://www.cctrefrig.com,N/A,770-423-7000,3
