Company Name,Industry Segment,Job Title to Search,Company Size,Location,Priority Tier,Website,Notes
Northwestern Medicine,Healthcare,Facilities Manager,1000-5000,Illinois,2,https://www.nm.org,Regional health system
Sutter Health,Healthcare,Operations Director,10000+,California,2,https://www.sutterhealth.org,Northern CA health system
Advocate Health,Healthcare,Facilities Manager,10000+,Illinois/Southeast,2,https://www.advocatehealth.org,Regional health system
Providence Health,Healthcare,Regional Facilities Director,10000+,West Coast,2,https://www.providence.org,Western US health system
Banner Health,Healthcare,Facilities Operations,10000+,Arizona/West,2,https://www.bannerhealth.com,Western US health system
HCA Healthcare,Healthcare,Facilities Manager,10000+,National,2,https://www.hcahealthcare.com,Largest for-profit hospital chain
Intermountain Health,Healthcare,Clinical Engineering Manager,5000-10000,Utah,2,https://intermountainhealthcare.org,Rocky Mountain health system
Cincinnati Children's,Healthcare,Biomed Director,5000-10000,Ohio,2,https://www.cincinnatichildrens.org,Children's hospital leader
Children's Hospital of Philadelphia,Healthcare,Facilities Manager,5000-10000,Pennsylvania,2,https://www.chop.edu,Pediatric research hospital
Memorial Sloan Kettering,Healthcare,Operations Manager,5000-10000,New York,2,https://www.mskcc.org,Cancer treatment center
Lineage Logistics,Warehouses,Operations Director,10000+,National,1,https://www.lineage.com,World's largest cold storage
Americold,Warehouses,Regional Operations Manager,5000-10000,National,1,https://www.americold.com,Major cold storage REIT
US Cold Storage,Warehouses,Facilities Manager,1000-5000,National,1,https://www.uscold.com,Third-largest cold storage operator
Burris Logistics,Warehouses,Operations Manager,500-1000,East Coast,1,https://www.burrislogistics.com,Regional cold chain leader
Kloosterboer,Warehouses,Facilities Director,500-1000,Europe/US,1,https://www.kloosterboer.com,European cold storage
NewCold,Warehouses,Operations Director,500-1000,National,1,https://www.newcold.com,Automated cold storage
Hilton Cold Storage,Warehouses,Plant Manager,200-500,Texas,2,https://www.hiltoncoldstorage.com,Regional cold storage
Colder Storage,Warehouses,Operations Manager,200-500,California,2,https://www.colderstorage.com,West coast cold chain
Columbia Colstor,Warehouses,Facilities Manager,200-500,Pacific Northwest,2,https://www.columbiacolstor.com,Regional cold storage
FreezPak Logistics,Warehouses,Operations Director,200-500,New Jersey,2,https://www.freezpak.com,Northeast cold storage
CSC Cold Storage,Warehouses,Plant Manager,100-200,California,2,https://www.csccoldstorage.com,Regional cold chain
Nova Cold Logistics,Warehouses,Operations Manager,100-200,Midwest,2,https://www.novacold.com,Regional operator
Millard Refrigerated,Warehouses,Facilities Director,200-500,National,2,https://www.millardrefrig.com,Cold chain logistics
Bertolet Cold Storage,Warehouses,Operations Manager,50-100,Illinois,3,https://www.bertolet.com,Regional cold storage
Frigid Systems,Warehouses,Plant Manager,50-100,Wisconsin,3,https://www.frigidsystems.com,Regional cold chain
Ice River Cold Storage,Warehouses,Operations Manager,50-100,Ohio,3,https://www.iceriver.com,Regional operator
Rooney Engineering,Warehouses,Facilities Manager,100-200,Florida,3,https://www.rooneyeng.com,Cold chain contractor
Cold Chain Technologies,Warehouses,Operations Director,100-200,National,3,https://www.coldchaintech.com,Temperature solutions
Zero Mountain,Warehouses,Plant Manager,100-200,Arkansas,3,https://www.zeromountain.com,Regional cold storage
Burris Cool Warehousing,Warehouses,Operations Manager,100-200,Delaware,3,https://www.burris.com,Regional cold chain
Cloverleaf Cold Storage,Warehouses,Facilities Manager,50-100,Iowa,3,https://www.cloverleafcold.com,Regional operator
CCT Refrigeration,Warehouses,Operations Director,50-100,Georgia,3,https://www.cctrefrig.com,Cold chain services
